world_rank,institution,national_rank,total_score,country_iso_code,country,year
601-700,University of La Laguna,19-22,,ES,Spain,2020
601-700,University of Louisville,155-175,,US,United States,2020
601-700,University of Luxembourg,1,,LU,Luxembourg,2020
601-700,University of Macau,2,,MO,Macao,2020
601-700,University of Magdeburg,36-39,,DE,Germany,2020
601-700,"University of Maryland, Baltimore County",155-175,,US,United States,2020
601-700,University of Montana - Missoula,155-175,,US,United States,2020
601-700,University of Nantes,21-22,,FR,France,2020
601-700,University of Nebraska Medical Center,155-175,,US,United States,2020
601-700,University of Quebec Montreal,21-24,,CA,Canada,2020
601-700,University of Salerno,25-30,,IT,Italy,2020
601-700,University of Shanghai for Science and Technology,85-102,,CN,China,2020
601-700,University of Sherbrooke,21-24,,CA,Canada,2020
601-700,University of Siena,25-30,,IT,Italy,2020
601-700,University of Szeged,1-2,,HU,Hungary,2020
601-700,University of Tennessee Health Science Center,155-175,,US,United States,2020
601-700,University of Texas at El Paso,155-175,,US,United States,2020
601-700,University of Toledo,155-175,,US,United States,2020
601-700,University of Trieste,25-30,,IT,Italy,2020
601-700,University of Versailles Saint-Quentin-en-Yvelines,21-22,,FR,France,2020
601-700,University of Wisconsin-Milwaukee,155-175,,US,United States,2020
601-700,Waseda University,18-19,,JP,Japan,2020
601-700,Xi'an University of Technology,85-102,,CN,China,2020
701-800,AGH University of Science and Technology,3,,PL,Poland,2020
701-800,Air Force Medical University,103-120,,CN,China,2020
701-800,Alexandria University,2,,EG,Egypt,2020
701-800,Anhui Medical University,103-120,,CN,China,2020
701-800,Anhui University,103-120,,CN,China,2020
701-800,Army Medical University,103-120,,CN,China,2020
701-800,Aston University,46-54,,GB,United Kingdom,2020
701-800,Babeș-Bolyai University,1,,RO,Romania,2020
701-800,Bangor University,46-54,,GB,United Kingdom,2020
701-800,Beijing Forestry University,103-120,,CN,China,2020
701-800,Bielefeld University,40-45,,DE,Germany,2020
701-800,Brescia University,31-38,,IT,Italy,2020
701-800,Catholic University of Korea,21-24,,KR,South Korea,2020
701-800,China University of Petroleum - Beijing,103-120,,CN,China,2020
701-800,Chongqing Medical University,103-120,,CN,China,2020
701-800,Chulalongkorn University,2,,TH,Thailand,2020
701-800,Chungnam National University,21-24,,KR,South Korea,2020
701-800,"City, University of London",46-54,,GB,United Kingdom,2020
701-800,Czech Technical University in Prague,4,,CZ,Czechia,2020
701-800,Dokuz Eylul University,4-5,,TR,Turkey,2020
701-800,Ege University,4-5,,TR,Turkey,2020
701-800,Federal University of Santa Catarina,9-12,,BR,Brazil,2020
701-800,Federal University of Sao Carlos,9-12,,BR,Brazil,2020
701-800,Fluminense Federal University,9-12,,BR,Brazil,2020
701-800,Guizhou University,103-120,,CN,China,2020
701-800,Hangzhou Dianzi University,103-120,,CN,China,2020
701-800,Harbin Medical University,103-120,,CN,China,2020
701-800,Heriot-Watt University,46-54,,GB,United Kingdom,2020
701-800,Hong Kong Baptist University,6,,HK,Hong Kong,2020
701-800,Indian Institute of Technology Delhi,5-7,,IN,India,2020
701-800,Indian Institute of Technology Kharagpur,5-7,,IN,India,2020
701-800,International School for Advanced Studies,31-38,,IT,Italy,2020
701-800,Jawaharlal Nehru University,5-7,,IN,India,2020
701-800,Juntendo University,20-24,,JP,Japan,2020
701-800,Kanazawa University,20-24,,JP,Japan,2020
701-800,Kangwon National University,21-24,,KR,South Korea,2020
701-800,Kaohsiung Medical University,10-11,,TW,Taiwan,2020
701-800,Kindai University,20-24,,JP,Japan,2020
701-800,Konkuk University,21-24,,KR,South Korea,2020
701-800,Kunming University of Science and Technology,103-120,,CN,China,2020
701-800,Lehigh University,176-181,,US,United States,2020
701-800,Liverpool John Moores University,46-54,,GB,United Kingdom,2020
701-800,Michigan Technological University,176-181,,US,United States,2020
701-800,Nanjing Forestry University,103-120,,CN,China,2020
701-800,Nanjing University of Posts and Telecommunications,103-120,,CN,China,2020
701-800,National Central University,10-11,,TW,Taiwan,2020
701-800,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),5-6,,RU,Russia,2020
701-800,National University of Colombia,1,,CO,Colombia,2020
701-800,National University of La Plata,2,,AR,Argentina,2020
701-800,Ningbo University,103-120,,CN,China,2020
701-800,Nottingham Trent University,46-54,,GB,United Kingdom,2020
701-800,Old Dominion University,176-181,,US,United States,2020
701-800,Osaka City University,20-24,,JP,Japan,2020
701-800,Paris 12 Val de Marne University,23-26,,FR,France,2020
701-800,Polytechnic University of Catalonia,23-30,,ES,Spain,2020
701-800,Qingdao University of Science and Technology,103-120,,CN,China,2020
701-800,Qufu Normal University,103-120,,CN,China,2020
701-800,"Royal Holloway, University of London",46-54,,GB,United Kingdom,2020
701-800,School for Advanced Studies in the Social Sciences,23-26,,FR,France,2020
701-800,Shahid Beheshti University of Medical Sciences,6-7,,IR,Iran,2020
701-800,Shinshu University,20-24,,JP,Japan,2020
701-800,Shiraz University,6-7,,IR,Iran,2020
701-800,SUNY Upstate Medical University,176-181,,US,United States,2020
701-800,Taiyuan University of Technology,103-120,,CN,China,2020
701-800,The Open University,46-54,,GB,United Kingdom,2020
701-800,The Second Military Medical University,103-120,,CN,China,2020
701-800,The University of Waikato,6,,NZ,New Zealand,2020
701-800,Ton Duc Thang University,1,,VN,Vietnam,2020
701-800,Università Della Svizzera Italiana,9,,CH,Switzerland,2020
701-800,Universitat de Lleida,23-30,,ES,Spain,2020
701-800,Université Gustave Eiffel,23-26,,FR,France,2020
701-800,University of Arkansas for Medical Sciences,176-181,,US,United States,2020
701-800,University of Bayreuth,40-45,,DE,Germany,2020
701-800,University of Brasília,9-12,,BR,Brazil,2020
701-800,University of Campania Luigi Vanvitelli,31-38,,IT,Italy,2020
701-800,University of Cordoba,23-30,,ES,Spain,2020
701-800,University of Eastern Piedmont,31-38,,IT,Italy,2020
701-800,University of Extremadura,23-30,,ES,Spain,2020
701-800,University of Giessen,40-45,,DE,Germany,2020
701-800,University of Hohenheim,40-45,,DE,Germany,2020
701-800,University of Hull,46-54,,GB,United Kingdom,2020
701-800,University of Jaen,23-30,,ES,Spain,2020
701-800,University of Jyvaskyla,7,,FI,Finland,2020
701-800,University of Kassel,40-45,,DE,Germany,2020
701-800,University of L'Aquila,31-38,,IT,Italy,2020
701-800,University of Limerick,5,,IE,Ireland,2020
701-800,University of Luebeck,40-45,,DE,Germany,2020
701-800,University of Malaga,23-30,,ES,Spain,2020
701-800,University of Missouri-Kansas City,176-181,,US,United States,2020
701-800,University of Modena and Reggio Emilia,31-38,,IT,Italy,2020
701-800,University of Murcia,23-30,,ES,Spain,2020
701-800,University of Regina,25,,CA,Canada,2020
701-800,University of Salamanca,23-30,,ES,Spain,2020
701-800,University of Salento,31-38,,IT,Italy,2020
701-800,University of Savoy,23-26,,FR,France,2020
701-800,University of Urbino,31-38,,IT,Italy,2020
701-800,University Putra Malaysia,5,,MY,Malaysia,2020
701-800,Ural Federal University,5-6,,RU,Russia,2020
701-800,Vilnius University,1,,LT,Lithuania,2020
701-800,WU Vienna University of Economics and Business,10,,AT,Austria,2020
801-900,Adam Mickiewicz University,4-6,,PL,Poland,2020
801-900,Addis Ababa University,1,,ET,Ethiopia,2020
801-900,Ain Shams University,3-4,,EG,Egypt,2020
801-900,Ajou University,25-30,,KR,South Korea,2020
801-900,Aligarh Muslim University,8-9,,IN,India,2020
801-900,Amherst College,182-190,,US,United States,2020
801-900,Ankara University,6-8,,TR,Turkey,2020
801-900,Bilkent University,6-8,,TR,Turkey,2020
801-900,Boise State University,182-190,,US,United States,2020
801-900,Budapest University of Technology and Economics,3,,HU,Hungary,2020
801-900,Chang'an University,121-131,,CN,China,2020
801-900,China Pharmaceutical University,121-131,,CN,China,2020
801-900,China University of Mining and Technology - Beijing,121-131,,CN,China,2020
801-900,Copenhagen Business School,6,,DK,Denmark,2020
801-900,Czech University of Life Sciences Prague,5,,CZ,Czechia,2020
801-900,Dongguk University,25-30,,KR,South Korea,2020
801-900,Duke-NUS Medical School,3,,SG,Singapore,2020
801-900,Ehime University,25-33,,JP,Japan,2020
801-900,Federal University of Goiás,13-17,,BR,Brazil,2020
801-900,Federal University of Pernambuco,13-17,,BR,Brazil,2020
801-900,Federal University of Rio Grande do Norte,13-17,,BR,Brazil,2020
801-900,Federal University of Viçosa,13-17,,BR,Brazil,2020
801-900,Ferdowsi University of Mashhad,8-9,,IR,Iran,2020
801-900,Florida Atlantic University,182-190,,US,United States,2020
801-900,Fujian Medical University,121-131,,CN,China,2020
801-900,Gachon University,25-30,,KR,South Korea,2020
801-900,Gdansk University of Technology,4-6,,PL,Poland,2020
801-900,Guangxi University,121-131,,CN,China,2020
801-900,Gwangju Institute of Science and Technology,25-30,,KR,South Korea,2020
801-900,Gyeongsang National University,25-30,,KR,South Korea,2020
801-900,Hallym University,25-30,,KR,South Korea,2020
801-900,Haverford College,182-190,,US,United States,2020
801-900,Henan University,121-131,,CN,China,2020
801-900,HSE University,7-8,,RU,Russia,2020
801-900,Kumamoto University,25-33,,JP,Japan,2020
801-900,Lincoln University,7,,NZ,New Zealand,2020
801-900,Linnaeus University,13-14,,SE,Sweden,2020
801-900,Liverpool School of Tropical Medicine,55-59,,GB,United Kingdom,2020
801-900,London Business School,55-59,,GB,United Kingdom,2020
801-900,Lulea University of Technology,13-14,,SE,Sweden,2020
801-900,Mansoura University,3-4,,EG,Egypt,2020
801-900,Marche Polytechnic University,39-45,,IT,Italy,2020
801-900,Meijo University,25-33,,JP,Japan,2020
801-900,Middle East Technical University,6-8,,TR,Turkey,2020
801-900,Montana State University - Bozeman,182-190,,US,United States,2020
801-900,Nagasaki University,25-33,,JP,Japan,2020
801-900,Nantong University,121-131,,CN,China,2020
801-900,National Taiwan University of Science and Technology,12,,TW,Taiwan,2020
801-900,National University of Cordoba,3,,AR,Argentina,2020
801-900,Niigata University,25-33,,JP,Japan,2020
801-900,Ontario Tech University,26,,CA,Canada,2020
801-900,Portland State University,182-190,,US,United States,2020
801-900,Prince of Songkla University,3,,TH,Thailand,2020
801-900,Quaid-i-Azam University,2-3,,PK,Pakistan,2020
801-900,Rutgers University-Newark,182-190,,US,United States,2020
801-900,Saitama University,25-33,,JP,Japan,2020
801-900,Shandong Normal University,121-131,,CN,China,2020
801-900,Sichuan Agricultural University,121-131,,CN,China,2020
801-900,South Dakota State University,182-190,,US,United States,2020
801-900,Technical University of Dortmund,46-48,,DE,Germany,2020
801-900,The Education University of Hong Kong,7,,HK,Hong Kong,2020
801-900,The Graduate University for Advanced Studies,25-33,,JP,Japan,2020
801-900,The Royal Veterinary College,55-59,,GB,United Kingdom,2020
801-900,Tomsk State University,7-8,,RU,Russia,2020
801-900,Tuscia University,39-45,,IT,Italy,2020
801-900,Universidad de Las Palmas de Gran Canaria,31-37,,ES,Spain,2020
801-900,Universidad Pablo de Olavide,31-37,,ES,Spain,2020
801-900,Universidade Federal de Pelotas,13-17,,BR,Brazil,2020
801-900,University of Alcalá,31-37,,ES,Spain,2020
801-900,University of Cagliari,39-45,,IT,Italy,2020
801-900,University of Calabria,39-45,,IT,Italy,2020
801-900,University of Cantabria,31-37,,ES,Spain,2020
801-900,University of Castilla–La Mancha,31-37,,ES,Spain,2020
801-900,University of Chieti-Pescara,39-45,,IT,Italy,2020
801-900,University of Concepcion,3,,CL,Chile,2020
801-900,University of Crete,4-5,,GR,Greece,2020
801-900,University of Girona,31-37,,ES,Spain,2020
801-900,University of Greenwich,55-59,,GB,United Kingdom,2020
801-900,University of Hertfordshire,55-59,,GB,United Kingdom,2020
801-900,University of Ioannina,4-5,,GR,Greece,2020
801-900,University of Klagenfurt,11-12,,AT,Austria,2020
801-900,University of Messina,39-45,,IT,Italy,2020
801-900,University of Oldenburg,46-48,,DE,Germany,2020
801-900,University of Poitiers,27,,FR,France,2020
801-900,University of Rhode Island,182-190,,US,United States,2020
801-900,University of South Africa,8,,ZA,South Africa,2020
801-900,University of Southern Queensland,30-31,,AU,Australia,2020
801-900,University of Tabriz,8-9,,IR,Iran,2020
801-900,University of the Punjab,2-3,,PK,Pakistan,2020
801-900,University of the Sunshine Coast,30-31,,AU,Australia,2020
801-900,University of Toyama,25-33,,JP,Japan,2020
801-900,University of Udine,39-45,,IT,Italy,2020
801-900,University of Valladolid,31-37,,ES,Spain,2020
801-900,University of Veterinary Medicine Vienna,11-12,,AT,Austria,2020
801-900,University of Wuppertal,46-48,,DE,Germany,2020
801-900,Vellore Institute of Technology,8-9,,IN,India,2020
801-900,Warsaw University of Technology,4-6,,PL,Poland,2020
801-900,Yokohama City University,25-33,,JP,Japan,2020
801-900,Yunnan University,121-131,,CN,China,2020
801-900,Zhejiang Normal University,121-131,,CN,China,2020
901-1000,Aberystwyth University,60-65,,GB,United Kingdom,2020
901-1000,All India Institute of Medical Sciences,10-15,,IN,India,2020
901-1000,Anna University,10-15,,IN,India,2020
901-1000,"Asia University, Taiwan",13-15,,TW,Taiwan,2020
901-1000,Augusta University,191-206,,US,United States,2020
901-1000,AUT University,8,,NZ,New Zealand,2020
901-1000,Bharathiar University,10-15,,IN,India,2020
901-1000,"Birkbeck, University of London",60-65,,GB,United Kingdom,2020
901-1000,Bond University,32-34,,AU,Australia,2020
901-1000,Carlos III University of Madrid,38-40,,ES,Spain,2020
901-1000,Changzhou University,132-144,,CN,China,2020
901-1000,Chiang Mai University,4,,TH,Thailand,2020
901-1000,City University New York - Baruch College,191-206,,US,United States,2020
901-1000,College of William and Mary,191-206,,US,United States,2020
901-1000,Coventry University,60-65,,GB,United Kingdom,2020
901-1000,Dalian Medical University,132-144,,CN,China,2020
901-1000,East Carolina University,191-206,,US,United States,2020
901-1000,Erciyes University,9-11,,TR,Turkey,2020
901-1000,Federal University of Bahia,18-22,,BR,Brazil,2020
901-1000,Federal University of Ceara,18-22,,BR,Brazil,2020
901-1000,Federal University of Santa Maria,18-22,,BR,Brazil,2020
901-1000,Gazi University,9-11,,TR,Turkey,2020
901-1000,Gifu University,34-40,,JP,Japan,2020
901-1000,Hebei Medical University,132-144,,CN,China,2020
901-1000,Hebei University of Technology,132-144,,CN,China,2020
901-1000,Howard University,191-206,,US,United States,2020
901-1000,Huaqiao University,132-144,,CN,China,2020
901-1000,Indian Institute of Technology Kanpur,10-15,,IN,India,2020
901-1000,Indian Institute of Technology Roorkee,10-15,,IN,India,2020
901-1000,Indian Institutes of Science Education and Research (IISERs),10-15,,IN,India,2020
901-1000,Inje university,31-32,,KR,South Korea,2020
901-1000,Iran University of Science & Technology,10-12,,IR,Iran,2020
901-1000,Isfahan University of Technology,10-12,,IR,Iran,2020
901-1000,ITMO University,9-11,,RU,Russia,2020
901-1000,Johannes Kepler University Linz,13-14,,AT,Austria,2020
901-1000,Kazan (Volga region) Federal University,9-11,,RU,Russia,2020
901-1000,King Juan Carlos University,38-40,,ES,Spain,2020
901-1000,Lakehead University,27-28,,CA,Canada,2020
901-1000,Lappeenranta University of Technology,8,,FI,Finland,2020
901-1000,Leuphana University Luneburg,49,,DE,Germany,2020
901-1000,Liaoning University of Technology,132-144,,CN,China,2020
901-1000,Marmara University,9-11,,TR,Turkey,2020
901-1000,Medical University of Silesia,7-8,,PL,Poland,2020
901-1000,Medical University of Warsaw,7-8,,PL,Poland,2020
901-1000,Nanjing University of Chinese Medicine,132-144,,CN,China,2020
901-1000,Nara Institute of Science and Technology,34-40,,JP,Japan,2020
901-1000,National Chung Hsing University,13-15,,TW,Taiwan,2020
901-1000,National Taiwan Normal University,13-15,,TW,Taiwan,2020
901-1000,New Jersey Institute of Technology,191-206,,US,United States,2020
901-1000,Nihon University,34-40,,JP,Japan,2020
901-1000,Northeast Agricultural University - China,132-144,,CN,China,2020
901-1000,Northumbria University,60-65,,GB,United Kingdom,2020
901-1000,Rhodes University,9,,ZA,South Africa,2020
901-1000,Rio de Janeiro State University,18-22,,BR,Brazil,2020
901-1000,Ritsumeikan University,34-40,,JP,Japan,2020
901-1000,Ryerson University,27-28,,CA,Canada,2020
901-1000,Semmelweis University,4-5,,HU,Hungary,2020
901-1000,Shanghai Normal University,132-144,,CN,China,2020
901-1000,Shantou University,132-144,,CN,China,2020
901-1000,Shizuoka University,34-40,,JP,Japan,2020
901-1000,Singapore University of Technology & Design,4,,SG,Singapore,2020
901-1000,Sogang University,31-32,,KR,South Korea,2020
901-1000,Southern Cross University,32-34,,AU,Australia,2020
901-1000,Southwest Petroleum University,132-144,,CN,China,2020
901-1000,Stevens Institute of Technology,191-206,,US,United States,2020
901-1000,The National University of Science and Technology MISiS,9-11,,RU,Russia,2020
901-1000,The University of Akron,191-206,,US,United States,2020
901-1000,Tokyo Metropolitan University,34-40,,JP,Japan,2020
901-1000,Universidad Andrés Bello,4,,CL,Chile,2020
901-1000,Universidad de Cadiz,38-40,,ES,Spain,2020
901-1000,Universidade Federal de Mato Grosso do Sul,18-22,,BR,Brazil,2020
901-1000,Universite de Tunis El Manar,1,,TN,Tunisia,2020
901-1000,University of Angers,28-30,,FR,France,2020
901-1000,University of Arkansas at Little Rock,191-206,,US,United States,2020
901-1000,University of Chemistry and Technology Prague,6-7,,CZ,Czechia,2020
901-1000,University of Costa Rica,1,,CR,Costa Rica,2020
901-1000,University of Debrecen,4-5,,HU,Hungary,2020
901-1000,University of Denver,191-206,,US,United States,2020
901-1000,University of Engineering and Technology (UET),4,,PK,Pakistan,2020
901-1000,University of Guilan,10-12,,IR,Iran,2020
901-1000,University of Insubria,46,,IT,Italy,2020
901-1000,University of Lincoln,60-65,,GB,United Kingdom,2020
901-1000,University of Massachusetts Boston,191-206,,US,United States,2020
901-1000,University of Massachusetts Lowell,191-206,,US,United States,2020
901-1000,University of North Carolina at Charlotte,191-206,,US,United States,2020
901-1000,University of North Carolina at Greensboro,191-206,,US,United States,2020
901-1000,University of Orleans,28-30,,FR,France,2020
901-1000,University of Salzburg,13-14,,AT,Austria,2020
901-1000,University of South Bohemia,6-7,,CZ,Czechia,2020
901-1000,University of Stirling,60-65,,GB,United Kingdom,2020
901-1000,University of the Republic - Uruguay,1,,UY,Uruguay,2020
901-1000,University of Thessaly,6,,GR,Greece,2020
901-1000,University of Tours,28-30,,FR,France,2020
901-1000,University of Yamanashi,34-40,,JP,Japan,2020
901-1000,Victoria University,32-34,,AU,Australia,2020
901-1000,Williams College,191-206,,US,United States,2020
901-1000,Worcester Polytechnic Institute,191-206,,US,United States,2020
901-1000,Yanshan University,132-144,,CN,China,2020
901-1000,Zagazig University,5,,EG,Egypt,2020
901-1000,Zhejiang Sci-Tech University,132-144,,CN,China,2020
