world_rank,institution,national_rank,total_score,country_iso_code,country,year
201-300,University of Wuerzburg,11-19,,DE,Germany,2020
201-300,University of York,21-28,,GB,United Kingdom,2020
201-300,Virginia Commonwealth University,66-94,,US,United States,2020
201-300,Virginia Polytechnic Institute and State University,66-94,,US,United States,2020
201-300,Western University,10-12,,CA,Canada,2020
201-300,Xiamen University,23-32,,CN,China,2020
201-300,Yeshiva University,66-94,,US,United States,2020
201-300,Yonsei University,2-6,,KR,South Korea,2020
301-400,Aalborg University,4-5,,DK,Denmark,2020
301-400,Autonomous University of Madrid,6-9,,ES,Spain,2020
301-400,Beijing University of Chemical Technology,33-49,,CN,China,2020
301-400,Brandeis University,95-114,,US,United States,2020
301-400,Capital Medical University,33-49,,CN,China,2020
301-400,Chalmers University of Technology,7-9,,SE,Sweden,2020
301-400,China Agricultural University,33-49,,CN,China,2020
301-400,China University of Geosciences (Wuhan),33-49,,CN,China,2020
301-400,Chongqing University,33-49,,CN,China,2020
301-400,Drexel University,95-114,,US,United States,2020
301-400,East China University of Science and Technology,33-49,,CN,China,2020
301-400,Ecole Normale Superieure - Lyon,13-16,,FR,France,2020
301-400,Griffith University,16-22,,AU,Australia,2020
301-400,Heinrich Heine University Duesseldorf,20-24,,DE,Germany,2020
301-400,Huazhong Agricultural University,33-49,,CN,China,2020
301-400,Indiana University-Purdue University at Indianapolis,95-114,,US,United States,2020
301-400,Institut Polytechnique de Paris,13-16,,FR,France,2020
301-400,James Cook University,16-22,,AU,Australia,2020
301-400,Jiangsu University,33-49,,CN,China,2020
301-400,Keio University,9-10,,JP,Japan,2020
301-400,Kyung Hee University,7-9,,KR,South Korea,2020
301-400,Kyungpook National University,7-9,,KR,South Korea,2020
301-400,Kyushu University,9-10,,JP,Japan,2020
301-400,La Trobe University,16-22,,AU,Australia,2020
301-400,Lancaster University,29-34,,GB,United Kingdom,2020
301-400,Laval University,13-18,,CA,Canada,2020
301-400,Linkoping University,7-9,,SE,Sweden,2020
301-400,Louisiana State University - Baton Rouge,95-114,,US,United States,2020
301-400,Medical University of South Carolina,95-114,,US,United States,2020
301-400,Nanjing Agricultural University,33-49,,CN,China,2020
301-400,Nanjing University of Aeronautics and Astronautics,33-49,,CN,China,2020
301-400,Nanjing University of Science and Technology,33-49,,CN,China,2020
301-400,National and Kapodistrian University of Athens,1,,GR,Greece,2020
301-400,National Cheng Kung University,3,,TW,Taiwan,2020
301-400,Northeastern University (Shenyang),33-49,,CN,China,2020
301-400,Peking Union Medical College,33-49,,CN,China,2020
301-400,Pohang University of Science and Technology,7-9,,KR,South Korea,2020
301-400,Polytechnic University of Valencia,6-9,,ES,Spain,2020
301-400,Pompeu Fabra University,6-9,,ES,Spain,2020
301-400,Queensland University of Technology,16-22,,AU,Australia,2020
301-400,RMIT University,16-22,,AU,Australia,2020
301-400,Saint Petersburg State University,2,,RU,Russia,2020
301-400,Shanghai University,33-49,,CN,China,2020
301-400,Simon Fraser University,13-18,,CA,Canada,2020
301-400,Southern University of Science and Technology,33-49,,CN,China,2020
301-400,Swedish University of Agricultural Sciences,7-9,,SE,Sweden,2020
301-400,Technical University of Berlin,20-24,,DE,Germany,2020
301-400,Temple University,95-114,,US,United States,2020
301-400,The George Washington University,95-114,,US,United States,2020
301-400,The Hong Kong University of Science and Technology,5,,HK,Hong Kong,2020
301-400,The University of Dundee,29-34,,GB,United Kingdom,2020
301-400,The University of New Mexico - Albuquerque,95-114,,US,United States,2020
301-400,"The University of Newcastle, Australia",16-22,,AU,Australia,2020
301-400,The University of Texas at Dallas,95-114,,US,United States,2020
301-400,The University of Texas Health Science Center at Houston,95-114,,US,United States,2020
301-400,UNESP,2-3,,BR,Brazil,2020
301-400,"University at Buffalo, the State University of New York",95-114,,US,United States,2020
301-400,University College Dublin,2,,IE,Ireland,2020
301-400,University of Alabama at Birmingham,95-114,,US,United States,2020
301-400,University of Antwerp,6-7,,BE,Belgium,2020
301-400,University of Bath,29-34,,GB,United Kingdom,2020
301-400,University of Bergen,3,,NO,Norway,2020
301-400,University of Campinas,2-3,,BR,Brazil,2020
301-400,University of Central Florida,95-114,,US,United States,2020
301-400,University of Côte d'Azur,13-16,,FR,France,2020
301-400,University of Duisburg-Essen,20-24,,DE,Germany,2020
301-400,University of Florence,8-10,,IT,Italy,2020
301-400,University of Guelph,13-18,,CA,Canada,2020
301-400,University of Hawaii at Manoa,95-114,,US,United States,2020
301-400,University of Kentucky,95-114,,US,United States,2020
301-400,University of Leicester,29-34,,GB,United Kingdom,2020
301-400,University of Malaya,1,,MY,Malaysia,2020
301-400,University of Manitoba,13-18,,CA,Canada,2020
301-400,University of Milano-Bicocca,8-10,,IT,Italy,2020
301-400,University of Naples Federico II,8-10,,IT,Italy,2020
301-400,"University of Natural Resources and Life Sciences, Vienna",4-5,,AT,Austria,2020
301-400,University of Notre Dame,95-114,,US,United States,2020
301-400,University of Oregon,95-114,,US,United States,2020
301-400,University of Otago,2,,NZ,New Zealand,2020
301-400,University of Porto,2,,PT,Portugal,2020
301-400,University of Saskatchewan,13-18,,CA,Canada,2020
301-400,University of South Carolina - Columbia,95-114,,US,United States,2020
301-400,University of Southern Denmark,4-5,,DK,Denmark,2020
301-400,University of St Andrews,29-34,,GB,United Kingdom,2020
301-400,University of Stuttgart,20-24,,DE,Germany,2020
301-400,University of Surrey,29-34,,GB,United Kingdom,2020
301-400,University of Tehran,1,,IR,Iran,2020
301-400,University of the Basque Country,6-9,,ES,Spain,2020
301-400,University of Toulouse 1,13-16,,FR,France,2020
301-400,University of Turku,2,,FI,Finland,2020
301-400,University of Ulm,20-24,,DE,Germany,2020
301-400,University of Vermont,95-114,,US,United States,2020
301-400,University of Victoria,13-18,,CA,Canada,2020
301-400,University of Warsaw,1,,PL,Poland,2020
301-400,Vienna University of Technology,4-5,,AT,Austria,2020
301-400,Vrije Universiteit Brussel (VUB),6-7,,BE,Belgium,2020
301-400,Washington State University,95-114,,US,United States,2020
301-400,Western Sydney University,16-22,,AU,Australia,2020
301-400,Wuhan University of Technology,33-49,,CN,China,2020
301-400,Zhengzhou University,33-49,,CN,China,2020
401-500,Aalto University,3,,FI,Finland,2020
401-500,Bar-Ilan University,5-6,,IL,Israel,2020
401-500,Beijing Jiaotong University,50-71,,CN,China,2020
401-500,Beijing University of Technology,50-71,,CN,China,2020
401-500,Ben-Gurion University of the Negev,5-6,,IL,Israel,2020
401-500,Brigham Young University,115-133,,US,United States,2020
401-500,Cairo University,1,,EG,Egypt,2020
401-500,Chiba University,11-14,,JP,Japan,2020
401-500,China University of Geosciences (Beijing),50-71,,CN,China,2020
401-500,China University of Mining and Technology - Xuzhou,50-71,,CN,China,2020
401-500,CUNY Graduate School and University Center,115-133,,US,United States,2020
401-500,East China Normal University,50-71,,CN,China,2020
401-500,Eindhoven University of Technology,11-12,,NL,Netherlands,2020
401-500,Federal University of Minas Gerais,4-6,,BR,Brazil,2020
401-500,Federal University of Rio de Janeiro,4-6,,BR,Brazil,2020
401-500,Federal University of Rio Grande do Sul,4-6,,BR,Brazil,2020
401-500,Flinders University,23,,AU,Australia,2020
401-500,Florida International University,115-133,,US,United States,2020
401-500,Fuzhou University,50-71,,CN,China,2020
401-500,Georgia State University,115-133,,US,United States,2020
401-500,Guangdong University of Technology,50-71,,CN,China,2020
401-500,Hannover Medical School,25-30,,DE,Germany,2020
401-500,Harbin Engineering University,50-71,,CN,China,2020
401-500,Hefei University of Technology,50-71,,CN,China,2020
401-500,Istanbul University,1,,TR,Turkey,2020
401-500,Jagiellonian University,2,,PL,Poland,2020
401-500,Jinan University,50-71,,CN,China,2020
401-500,Kansas State University,115-133,,US,United States,2020
401-500,King Fahd University of Petroleum & Minerals,4,,SA,Saudi Arabia,2020
401-500,Kobe University,11-14,,JP,Japan,2020
401-500,Lanzhou University,50-71,,CN,China,2020
401-500,Mahidol University,1,,TH,Thailand,2020
401-500,Medical University of Graz,6-7,,AT,Austria,2020
401-500,Moscow Institute of Physics and Technology,3,,RU,Russia,2020
401-500,Nanchang University,50-71,,CN,China,2020
401-500,Nanjing Medical University,50-71,,CN,China,2020
